Fingerprint ID (Primary Key),User ID,File ID,Mobile (1=yes;0=no),User Agent,Browser,Browser Engine,Plugins Installed,Operating System,Time Zone Difference from Greenwich Mean Time (in hours),Screen (Color Depth|Screen Width|Screen Height|Screen Available Width|Screen Available Height|Font Smoothing),System Language,Adobe Flash Version,Microsoft Silverlight Version,JavaScript Enabled (1=yes;0=no),1st Party HTTP Cookies Enabled (1=yes;0=no),3rd Party HTTP Cookies Enabled (1=yes;0=no),Do Not Track Enabled (1=yes;0=no),Touchscreen (1=yes;0=no),Internet Connection Type,"Latency (page load speed, specifically, duration of request (requestStart to responseStart) | roundtrip network latency (fetchStart to responseEnd))",Fonts Installed,Local Storage Enabled (1=yes;0=no),Session Storage Enabled (1=yes;0=no),HTTP Accept Headers
1.1,1,1_desktop_anonymous,0,"mozilla/5.0 (windows nt 10.0; wow64) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.112 safari/537.36|Win32",Chrome_49,Safari,widevine content decryption module|shockwave flash|chrome pdf viewer|native client|chrome pdf viewer,Windows 10|64 bits,-4,24|2048|1152|2048|1112|fs=False,lang=en-US,21.0.0,Not Installed,1,1,1,0,1,N/A,34|41,Adobe Arabic|Adobe Fangsong Std|Adobe Hebrew|Agency FB|Albertus|Antique Olive|Arial|Arial Black|Arial Narrow|Arial Unicode MS|Arial Black|Bauhaus 93|Bell MT|Bodoni MT|Bradley Hand ITC|Broadway|Calibri|Calisto MT|Cambria|Cambria Math|Candara|Castellar|Centaur|Chicago|Corbel|Coronet|Courier|Courier New|Ebrima|Elephant|Eurostile|Franklin Gothic Medium|Gadugi|Garamond|Georgia|Gigi|Goudy|Harrington|Helvetica|High Tower Text|Impact|Informal Roman|Leelawadee|Leelawadee UI|Letter Gothic|Lucida Console|Lucida Sans|Lucida Sans Typewriter|Lucida Sans Unicode|Marlett|Matura MT Script Capitals|Microsoft JhengHei|Microsoft JhengHei UI|Microsoft New Tai Lue|Microsoft PhagsPa|Microsoft Sans Serif|Microsoft Tai Le|Microsoft New Tai Lue|Microsoft Sans Serif|Microsoft Tai Le|MingLiU_HKSCS-ExtB|MingLiU-ExtB|Monaco|Mongolian Baiti|MS Gothic|MS Sans Serif|MS Serif|MS Gothic|MS Reference Sans Serif|Myanmar Text|Niagara Solid|Nirmala UI|NSimSun|Palace Script MT|Papyrus|Perpetua|Playbill|Rockwell|Segoe Script|Segoe UI|Segoe UI Emoji|Segoe UI Historic|Segoe UI Symbol|Segoe UI Semibold|Segoe UI Symbol|SimSun-ExtB|Sitka Display|Sitka Small|Snap ITC|Sylfaen|Tahoma|Times|Times New Roman|Trebuchet MS|Univers|Verdana|Vladimir Script|Webdings|Yu Gothic UI|Yu Mincho,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
1.2,1,1_mobile_anonymous,1,"mozilla/5.0 (linux; android 6.0.1; nexus 6 build/mmb29x) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.105 mobile safari/537.36|Linux armv7l",Chrome_49,Safari,Not Installed,Android|32 bits,-4,32|412|732|412|732|fs=False,lang=en-US,Not Installed,Not Installed,1,1,1,0,1,cellular,102|294,Arial|Baskerville|Casual|Courier|Courier New|Georgia|Goudy|Helvetica|Monaco|Monospace|Palatino|serif|Tahoma|Times|Times New Roman|Verdana,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
2.1,2,2_desktop_anonymous,0,"mozilla/5.0 (windows nt 10.0; wow64) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.112 safari/537.36|Win32",Chrome_49,Safari,widevine content decryption module|shockwave flash|chrome pdf viewer|native client|chrome pdf viewer,Windows 10|64 bits,-4,24|1366|768|1366|728|fs=False,lang=en-US,21.0.0,Not Installed,1,1,1,1,0,N/A,20|30,Arial|Arial Black|Arial Narrow|Arial Black|Calibri|Cambria|Cambria Math|Candara|Corbel|Courier|Courier New|Ebrima|Franklin Gothic Heavy|Gadugi|Georgia|Helvetica|Impact|Leelawadee UI|Lucida Console|Lucida Sans Unicode|Marlett|Microsoft JhengHei|Microsoft JhengHei UI|Microsoft New Tai Lue|Microsoft PhagsPa|Microsoft Sans Serif|Microsoft Tai Le|Microsoft New Tai Lue|Microsoft Sans Serif|Microsoft Tai Le|MingLiU_HKSCS-ExtB|MingLiU-ExtB|Mongolian Baiti|MS Gothic|MS Sans Serif|MS Serif|MS Gothic|Myanmar Text|Nirmala UI|NSimSun|Segoe Script|Segoe UI|Segoe UI Emoji|Segoe UI Historic|Segoe UI Symbol|Segoe UI Semibold|Segoe UI Symbol|SimSun-ExtB|Sitka Display|Sitka Small|Sylfaen|Tahoma|Times|Times New Roman|Trebuchet MS|Verdana|Webdings|Yu Gothic UI,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8,fr;q=0.6"
2.2,2,2_mobile_anonymous,1,"mozilla/5.0 (linux; android 6.0.1; nexus 5x build/mhc19q) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.105 mobile safari/537.36|Linux armv8l",Chrome_49,Safari,Not Installed,Android|32 bits,-4,32|412|732|412|732|fs=False,lang=en-US,Not Installed,Not Installed,1,1,1,0,1,wifi,8|44,Arial|Baskerville|Casual|Courier|Courier New|Georgia|Goudy|Helvetica|Monaco|Monospace|Palatino|serif|Tahoma|Times|Times New Roman|Verdana,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8,fr;q=0.6"
3.1,3,3_desktop_anonymous,0,"mozilla/5.0 (macintosh; intel mac os x 10_11_4) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.112 safari/537.36|MacIntel",Chrome_49,Safari,widevine content decryption module|shockwave flash|chrome pdf viewer|native client|chrome pdf viewer,Mac OSX El Capitan|Unknown,-4,24|1280|800|1280|709|fs=False,lang=en-US,21.0.0,Not Installed,1,1,1,0,0,N/A,4|53,AquaKana|American Typewriter|Andale Mono|Apple Symbols|Arial|Arial Unicode MS|Avenir|Ayuthaya|Batang|Bauhaus 93|Bell MT|Braggadocio|Calibri|Calisto MT|Cambria|Cambria Math|Candara|Chalkboard|Chalkduster|Charter|Corbel|Courier|Courier New|Euphemia UCAS|Eurostile|Futura|Garamond|Gill Sans|Gulim|Harrington|Helvetica|Helvetica Neue|Hiragino Kaku Gothic Pro|Hiragino Kaku Gothic ProN|Hiragino Maru Gothic Pro|Hiragino Maru Gothic ProN|Hiragino Sans GB|Impact|Kino MT|Kohinoor Devanagari|Krungthep|Lucida Console|Lucida Grande|Lucida Sans|Lucida Sans Typewriter|Lucida Sans Unicode|Marker Felt|Matura MT Script Capitals|Menlo|Microsoft Sans Serif|Microsoft Tai Le|Microsoft Sans Serif|Microsoft Tai Le|MingLiU|MingLiU_HKSCS|MingLiU_HKSCS-ExtB|MingLiU-ExtB|Monaco|Mongolian Baiti|MS Gothic|MS Mincho|MS PMincho|MS Gothic|MS Reference Sans Serif|Perpetua|Phosphate|Plantagenet Cherokee|Playbill|Rockwell|Silom|SimSun-ExtB|Skia|Snell Roundhand|Times|Times New Roman|Trattatello|Verdana,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
3.2,3,3_mobile_anonymous,1,"mozilla/5.0 (linux; android 6.0.1; samsung sm-n920v 4g build/mmb29k) applewebkit/537.36 (khtml, like gecko) samsungbrowser/4.0 chrome/44.0.2403.133 mobile safari/537.36|Linux armv8l",Chrome_44,Safari,Not Installed,Android|32 bits,-4,32|412|732|412|732|fs=False,lang=en-US,Not Installed,Not Installed,1,1,1,0,1,cellular,16|45,Arial|Baskerville|Casual|Courier|Courier New|Georgia|Goudy|Helvetica|Monaco|Monospace|Palatino|serif|Tahoma|Times|Times New Roman|Verdana,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
4.1,4,4_desktop_anonymous,0,"mozilla/5.0 (windows nt 10.0; wow64) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.112 safari/537.36|Win32",Chrome_49,Safari,widevine content decryption module|shockwave flash|chrome pdf viewer|native client|chrome pdf viewer,Windows 10|64 bits,-4,24|1920|1080|1920|1030|fs=False,lang=en-US,21.0.0,Not Installed,1,1,1,0,0,N/A,110|115,Arial|Arial Black|Arial Narrow|Arial Black|Bauhaus 93|Bookman Old Style|Bradley Hand ITC|Broadway|Calibri Light|Californian FB|Cambria|Cambria Math|Candara|Centaur|Century|Century Schoolbook|Colonna MT|Comic Sans MS|Copperplate Gothic|Copperplate Gothic Light|Courier|Courier New|Ebrima|Elephant|Engravers MT|Forte|Franklin Gothic|Franklin Gothic Medium|Gabriola|Gadugi|Garamond|Georgia|Gigi|Harrington|Helvetica|High Tower Text|Impact|Inconsolata|Informal Roman|Leelawadee|Leelawadee UI|Lucida Console|Lucida Sans|Lucida Sans Typewriter|Lucida Sans Unicode|Malgun Gothic|Marlett|Matura MT Script Capitals|Microsoft Himalaya|Microsoft JhengHei|Microsoft JhengHei UI|Microsoft New Tai Lue|Microsoft PhagsPa|Microsoft Sans Serif|Microsoft Tai Le|Microsoft Uighur|Microsoft Yi Baiti|Microsoft Himalaya|Microsoft New Tai Lue|Microsoft Sans Serif|Microsoft Tai Le|Microsoft Uighur|Microsoft Yi Baiti|MingLiU_HKSCS-ExtB|MingLiU-ExtB|Mistral|Mongolian Baiti|Monotype Corsiva|MS Gothic|MS PGothic|MS Sans Serif|MS Serif|MS UI Gothic|MS Gothic|MS Reference Sans Serif|MV Boli|Myanmar Text|Niagara Solid|Nirmala UI|NSimSun|Old English Text MT|Palace Script MT|Papyrus|Perpetua|Playbill|PMingLiU-ExtB|Poor Richard|Rockwell|Segoe Print|Segoe Script|Segoe UI|Segoe UI Emoji|Segoe UI Historic|Segoe UI Symbol|Segoe UI Light|Segoe UI Symbol|SimSun-ExtB|Sitka Banner|Sitka Text|Snap ITC|Sylfaen|Symbol|Tahoma|Times|Times New Roman|Trebuchet MS|Verdana|Vivaldi|Webdings|Wingdings|Wingdings 2|Wingdings 3|Yu Gothic|Yu Gothic UI,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
4.2,4,4_mobile_anonymous,1,"mozilla/5.0 (linux; android 5.1; blu life one x build/lmy47d) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.105 mobile safari/537.36|Linux aarch64",Chrome_49,Safari,Not Installed,Android|32 bits,-4,32|360|640|360|640|fs=False,lang=en-US,Not Installed,Not Installed,1,1,1,0,1,wifi,5|70,Arial|Baskerville|Casual|Courier|Courier New|Georgia|Goudy|Helvetica|Monaco|Monospace|Palatino|serif|Tahoma|Times|Times New Roman|Verdana,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
5.1,5,5_desktop_anonymous,0,mozilla/5.0 (x11; ubuntu; linux x86_64; rv:42.0) gecko/20100101 firefox/42.0|Linux x86_64,Firefox_42,"Gecko engine (Mozilla, Netscape 6+ etc.)",divx web player|google talk plugin|google talk plugin video renderer|quicktime plug-in 7.6.6|shockwave flash|vlc multimedia plugin (compatible videos 3.10.1)|windows media player plug-in 10 (compatible; videos),Ubuntu|32 bits*,-4,24|1366|768|1366|743|fs=False,lang=en-US,11.2.202,Not Installed,1,1,1,0,0,N/A,13|14,Angsana New|Angsana New|Angsana UPC|Arial|Arial Narrow|Batang|Bitstream Vera Serif|Browallia New|Browallia UPC|Cordia New|Cordia UPC|Courier|Courier New|DejaVu Sans|DejaVu Sans Mono|DejaVu Serif|DejaVu LGC Sans Mono|Dotum|Droid Sans|Droid Sans Mono|Droid Serif|Free Sans|Free Serif|Gulim|Helvetica|ITC Zapf Chancery|Liberation Mono|Liberation Sans|Liberation Serif|Loma|Monospace|New Century Schoolbook|Nimbus Mono L|Nimbus Sans L|Palatino|Rachana|Sawasdee|serif|Tibetan Machine Uni|Times|Times New Roman|Ubuntu|Ubuntu Mono|Umpush,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8gzip, deflateen-US,en;q=0.5"
5.2,5,5_mobile_anonymous,1,"mozilla/5.0 (linux; android 5.1.1; one a2005 build/lmy47v) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.105 mobile safari/537.36|Linux aarch64",Chrome_49,Safari,Not Installed,Android|32 bits,-4,32|360|640|360|640|fs=False,lang=en-US,Not Installed,Not Installed,1,1,1,0,1,wifi,47|98,Arial|Baskerville|Casual|Courier|Courier New|Georgia|Goudy|Helvetica|Monaco|Monospace|Palatino|serif|Tahoma|Times|Times New Roman|Verdana,1,1," text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8gzip, deflate, sdchen-US,en;q=0.8"
